district,neighbourhood_ids,june_2012,dec_2012,june_2013,dec_2013,june_2014,dec_2014,june_2015,dec_2015,june_2016,nov_2016,change_2015_2016,change_2012_2016,
C01,76-84,665200,649700,674600,644400,688000,675400,695600,700500,757700,786200,14.5,25.70,
C02,94-97,633700,615000,661200,664800,691100,685300,715300,736900,822100,839700,15.81,36.70,
C03,"100,101,106",398800,397500,419500,438800,472700,474700,515800,536500,591200,620800,16.78,47.66,
C04,"32, 29, 102, 103, 105",358200,351900,374400,392000,416300,419500,451800,467800,522200,556000,18.94,49.61,
C06,033-034,318100,326700,331400,343800,350500,350900,389900,400600,454600,472700,18.56,57.62,
C07,035-038,428700,420300,436300,424400,450500,454900,464900,467500,518300,557100,18.62,53.27,
C08,71-75,637600,615800,664000,671300,724500,725400,750100,755200,845600,913300,20.39,29.50,
C09,98,571200,559800,573600,581000,607000,611500,633000,643200,704600,734700,13.3,11.55,
C10,"99, 104",345400,353100,364900,366700,394700,415300,433200,441700,500000,510500,16.49,32.94,
C11,"44, 56-56",308700,314500,320300,324700,341400,353000,374100,385800,429800,469300,22.4,62.41,
C12,"40, 41",447700,434300,444200,455100,468800,472500,473400,480600,510000,545900,13.09,42.14,
C13,"42,43,45",805800,772500,806700,820900,886000,879300,934400,937700,1019400,1056000,11.53,53.17,
C14,050-051,840500,849200,893000,902700,981000,990200,1062800,1081300,1209500,1254800,15.16,39.26,
C15,"046-049, 052-053",964700,934300,981400,960900,1061300,1040200,1142500,1179000,1282600,1397800,17.68,52.99,
E01,"65, 68, 69, 70",638700,621300,662800,671900,706400,706400,776700,809800,927400,979300,23.37,49.44,
E02,062-064,529900,515900,541300,549500,571500,587600,627800,655000,749900,790700,23.56,45.43,
E03,"54, 57-61, 66-67",430800,406800,426100,423000,457800,460900,456800,461900,487400,526800,14.56,56.25,
E04,"119, 120, 124, 125",1017400,951300,969100,929000,1006200,975800,969900,1045600,1064100,1061200,0.28,47.54,
E05,116-118,673300,669000,706400,688100,761400,738000,802800,804700,870700,889400,9.4,59.57,
E06,121-122,484100,470100,518500,551500,590900,619500,641700,671800,720200,763500,14.75,45.96,
E07,128-130,1300900,1246900,1303500,1291500,1368600,1398600,1457800,1504000,1694300,1772300,18.17,54.23,
E08,"123, 138-140",543800,527900,560800,564500,593200,621600,651500,667400,785800,808600,20.97,52.34,
E09,"127, 135, 137",564500,545400,565800,576300,605600,602500,630400,626600,689100,759500,18,49.97,
E10,133-136,516500,505200,519200,539600,572700,592100,629900,629500,726100,772900,21.56,62.64,
E11,131,559000,544100,570500,596600,635800,640700,677800,693100,758400,813100,18.53,58.46,
W01,85-87,624600,595200,635300,672500,700100,710100,758300,764600,835100,865600,12.72,21.01,
W02,"88-90, 93, 114",496600,465800,486400,492600,534100,547400,584700,632700,680100,727800,16.06,36.54,
W03,"91, 92, 109-111",380800,376300,390900,416500,435600,445600,468700,484500,538600,555200,15.45,56.18,
W04,"23, 28-31, 108, 112, 113, 115",385900,378900,403000,414000,442300,455200,491500,505700,581600,604600,21.23,58.23,
W05,021-027,474700,462600,480700,496800,526200,519100,548600,581700,639400,675200,15.84,44.69,
W06,"017, 018, 019, 020",371800,369000,389300,412700,442800,448900,488800,495700,549200,569100,16.34,32.55,
W07,016,361500,351900,369300,381800,405600,410300,450200,467200,500300,536100,14.65,48.31,
W08,"009, 010,011, 012, 013, 014, 015",340900,335400,355900,368900,386100,396000,426200,436300,483700,503000,16.3,31.24,
W09,"006, 007, 008",424400,408500,435700,451800,480200,507300,541000,552900,619400,664400,21.73,44.58,
W10,"001, 002, 003, 004, 005",308200,303800,312000,334900,351900,366800,401700,403000,460400,481400,18.51,49.22,
,,,,,,,,,,,,,,