city_name,total_months,reason_there,long,lat
Toronto,15,Home,-79.383184,43.653226
Trois-Rivieres,1,Study,2.352222,48.856614
Hong Kong,4,Study,114.109497,22.396428
Beijing,10,Study_Intern,116.407395,39.904211
Guizhou,10,Volunteer,106.630154,26.647661
Nong Weang,1,Volunteer,103.102919,14.993002
Padova,4,Study,11.876761,45.406435
Leuven,5,Study,4.700518,50.879844
Paris,4,Study,2.352222,48.856614
Jerusalem,1,Study,35.21371,31.768319
Bandung,0.5,Study,107.619123,-6.917464
Singapore,1,Vacation,103.819836,1.352083