Category,2011,2012,2013,2014,2015,2015 (Jan-Mar),2016 (Jan-Mar)
China,1793,1663,773,1192,1497,416,354
Hungary,4453,1879,96,391,985,229,312
Slovakia,316,443,34,470,354,52,307
Nigeria,677,707,468,577,794,177,300
Syria,176,343,490,565,581,100,271
Pakistan,893,862,635,771,898,192,267
Iraq,156,162,238,579,599,122,237
Afghanistan,419,368,390,471,497,111,212
Colombia,869,695,598,581,702,165,177
Somalia,428,432,290,331,508,68,172
Total Top 10,10180,7554,4012,5928,7415,1632,2609
Other*,15176,12955,6412,7554,8694,1828,2701
Total,25356,20509,10424,13482,16109,3460,5310