province,gender,blended,government,private,unstated,total
NL,female,38,98,20,0,156
NL,male,34,98,17,0,149
PEI,female,14,58,42,0,114
PEI,male,11,55,44,0,110
NS,female,112,363,62,0,537
NS,male,115,413,57,0,585
NB,female,NA,603,NA,86,689
NB,male,NA,685,NA,104,789
QB,female,9,570,2282,0,2861
QB,male,11,606,2392,0,3009
ON,female,886,3555,2336,0,6777
ON,male,885,3718,2496,0,7099
MB,female,80,393,47,0,520
MB,male,98,394,44,0,536
SK,female,48,526,22,0,596
SK,male,52,550,19,0,621
AB,female,147,1055,678,0,1880
AB,male,170,1148,668,0,1986
BC,female,159,966,260,0,1385
BC,male,205,987,250,0,1442
YK,female,NA,0,NA,8,8
YK,male,NA,0,NA,9,9
unstated,NA,5,0,15,0,20
CAN,female,1583,8187,5763,0,15533
CAN,male,1689,8654,6002,0,16345
CAN,total,3272,16841,11765,0,31878