neighbourhood,neighbourhood_id,total_population,pop_15up,walk_score,social_assistance,private_dwellings,rent_bank_app,social_housing_units,home_price,soc_house_waitlist,visible_minority,unemployed,avg_fam_income,bachelor_degree,recent_immigrant,pollutants_release,road_kms,traffic_collisions,pedes_colisions,low_income_population,lone_parent_families,total_area,vehicle_thefts
West Humber-Clairville,1,34100,62205,57,2912,10125,38,950,317508,557,26475,1750,72820,1445,2750,1585690,165.0073788,778,727,7590,1740,30.09,310
Mount Olive-Silverstone-Jamestown,2,32790,57865,61,6561,9580,41,1288,251119,1049,28175,2175,57411,1090,5850,31,33.86731754,154,224,11540,2150,4.6,62
Thistletown-Beaumond Heights,3,10140,18445,54,1276,3220,7,372,414216,270,6285,530,70838,650,1070,0,27.87682004,69,109,2350,560,3.4,10
Rexdale-Kipling,4,10485,19380,58,1323,3955,19,308,392271,186,4425,590,69367,350,800,35920,25.23712912,96,62,2170,670,2.5,12
Elms-Old Rexdale,5,9550,16990,48,1683,3190,14,358,233832,239,5510,575,61196,260,545,309,17.07821088,70,63,2790,790,2.9,7
Kingsview Village-The Westway,6,21725,38990,56,4348,7665,55,553,292861,663,12180,920,68145,765,1890,332,34.67941211,74,105,6760,1580,5.1,58
Willowridge-Martingrove-Richview,7,21345,39305,51,2032,8150,24,762,511637,316,7915,835,79241,1140,1225,0,58.1905001,179,80,3490,1090,5.5,45
Humber Heights-Westmount,8,10580,19700,58,856,3910,3,688,491396,155,2435,405,81267,320,400,72,25.33142639,54,27,1780,630,2.8,25
Edenbridge-Humber Valley,9,14945,27715,49,751,6025,10,0,873268,139,2610,635,119581,795,755,0,44.71755334,150,39,1660,630,5.5,28
Princess-Rosethorn,10,11200,20655,48,299,3865,4,0,971668,41,1810,425,144943,450,495,0,55.51501804,78,49,950,320,5.2,21
Eringate-Centennial-West Deane,11,18805,34880,57,775,6900,3,0,423034,101,5180,735,88741,1025,605,48397,63.07531488,166,74,2130,890,8.6,28
Markland Wood,12,10435,19500,69,239,4310,4,0,505350,70,1445,450,100337,470,310,441,27.72983914,76,53,990,400,2.9,8
Etobicoke West Mall,13,10925,20100,74,1091,4100,12,200,298426,149,4250,555,67704,520,885,0,15.67267236,31,33,2020,600,1.7,11
Islington-City Centre West,14,38070,70955,72,2534,16245,16,1240,491678,489,12355,1565,87747,2155,3305,895785,120.1567608,366,689,11590,1840,16.4,96
Kingsway South,15,9175,16635,68,74,3530,0,0,941223,16,1005,295,191204,310,130,470,30.48819635,99,56,470,230,2.6,17
Stonegate-Queensway,16,24690,45475,67,1593,10420,12,129,690949,280,3890,1095,100867,910,1480,17931,84.63624626,265,155,3080,1010,7.9,34
Mimico,17,26550,50130,71,2634,13685,36,879,429941,547,6700,1195,87901,1385,1570,96927,52.8735019,171,134,4390,1300,6.9,36
New Toronto,18,10905,20325,79,1600,5160,18,1010,460811,389,3260,520,70398,510,485,34919,27.90971541,109,71,2410,620,3.5,9
Long Branch,19,9630,17925,72,1024,4515,20,106,459088,177,2005,505,77549,345,505,2405,26.22108051,88,43,1520,510,2.3,9
Alderwood,20,11900,22125,70,516,4660,2,77,504233,69,1955,500,83584,455,375,64042,43.87582539,125,56,1090,570,5,9
Humber Summit,21,12530,22720,61,1659,3810,7,133,354381,204,7340,645,65757,310,1055,521916,48.83422843,286,205,3330,700,7.9,68
Humbermede,22,15850,28540,58,2590,5120,16,223,314721,424,11725,1030,59697,570,1890,699603,28.13528583,103,158,4030,1060,4.4,36
Pelmo Park-Humberlea,23,8705,15945,57,798,2990,4,359,412618,149,3240,440,76800,175,225,2735,32.44376816,110,173,1430,530,4.2,30
Black Creek,24,22060,38985,62,6408,7245,27,1564,235143,829,17805,1300,52499,450,2700,6055,23.51819455,135,182,7940,2190,3.4,43
Glenfield-Jane Heights,25,31395,56260,61,7263,10025,30,1511,304262,949,23905,1755,56582,670,2755,860,41.62227043,222,340,9610,2920,5.2,41
Downsview-Roding-CFB,26,34650,63240,59,5618,13225,36,571,400486,1060,18135,1760,61994,1260,3600,256337,87.98992412,300,604,7750,2390,14.9,107
York University Heights,27,27715,51000,60,4720,10315,43,511,359372,727,17710,1545,59770,1140,3165,203624,67.60074578,548,598,7950,1780,13.2,107
Rustic,28,9950,17665,60,1924,3645,9,1292,493442,349,6125,605,59004,320,425,0,20.02981099,99,36,2980,1050,2.1,7
Maple Leaf,29,10195,18765,66,919,3565,5,175,540741,160,4390,360,68718,325,930,1011,23.05914766,76,41,1770,500,2.5,7
Brookhaven-Amesbury,30,17785,32010,62,3420,6425,36,849,352428,603,11220,835,60364,630,1550,4409,29.67583066,108,188,4780,1500,3.5,38
Yorkdale-Glen Park,31,14685,27235,72,1502,5235,6,657,421045,292,6115,710,70539,445,825,82979,49.71453259,246,1007,2850,930,5.9,69
Englemount-Lawrence,32,22080,39420,70,2733,8135,9,2104,577889,379,8225,735,86616,960,2630,0,39.79200011,198,185,5360,1270,3.6,30
Clanton Park,33,14610,26660,63,734,5535,6,569,605585,256,5010,610,89550,815,1470,332,42.6697449,148,234,2560,650,4.2,70
Bathurst Manor,34,15435,28565,61,1018,6050,6,301,568877,232,4340,625,76914,565,1690,54508,41.4372944,177,146,2620,650,4.8,36
Westminster-Branson,35,25445,47370,61,2906,10050,15,966,372380,1077,8765,1240,62791,1545,4840,168,23.39752438,150,221,6540,1330,3.7,28
Newtonbrook West,36,23050,43275,69,2124,8625,1,380,557468,670,11630,1175,66505,1295,4205,20,46.89685527,260,351,6690,1000,4.7,52
Willowdale West,37,15005,28335,78,515,6680,1,664,541247,176,7410,490,83632,980,1535,0,32.29755967,167,111,3050,450,2.9,11
Lansing-Westgate,38,14640,26980,77,468,5985,3,0,646460,169,4945,655,105947,635,1760,86,39.31779631,173,142,2430,520,5.4,20
Bedford Park-Nortown,39,23185,41670,73,484,8700,5,236,1191040,141,4090,735,161110,1115,1340,314,62.50510549,258,167,2440,630,5.5,42
St.Andrew-Windfields,40,17955,33150,60,606,6475,3,38,1363202,133,7725,810,162988,1045,1590,1599,59.74934713,302,123,3350,600,7.3,13
Bridle Path-Sunnybrook-York Mills,41,8715,16005,58,37,2985,0,43,1849084,24,1965,245,356777,355,350,7653,48.36508558,128,205,810,210,8.8,7
Banbury-Don Mills,42,26910,50145,67,1030,11765,13,304,613647,279,11935,985,115239,1400,2060,36229,75.0681627,166,319,3790,1020,10,20
Victoria Village,43,17180,31630,71,2593,7280,15,922,365107,459,9390,915,65104,785,1610,38841,34.27607748,122,113,4320,1040,4.7,19
Flemingdon Park,44,22165,39870,63,4348,8030,16,748,204104,1141,17115,1585,55824,995,3045,0,11.77007859,120,95,7800,1160,2.5,10
Parkwoods-Donalda,45,34620,63155,63,3664,13150,63,805,553698,712,17715,2070,74645,1535,3910,1964,58.27994577,312,173,7200,2050,7.5,33
Pleasant View,46,16145,30000,66,791,5540,9,0,463859,205,10230,815,71782,835,1615,0,32.86586301,152,77,3540,690,3,12
Don Valley Village,47,26735,49340,79,2137,9735,16,111,478489,572,18195,1535,69884,1830,4365,0,39.98616921,185,251,7040,1080,4.1,50
Hillcrest Village,48,17650,33215,68,694,6540,0,1027,484743,252,12525,750,81484,1320,1360,246384,41.08455447,174,170,4350,660,5.3,11
Bayview Woods-Steeles,49,13535,25420,57,666,4715,2,174,784397,181,8210,690,88861,925,980,0,29.92753678,107,79,3080,480,4.1,16
Newtonbrook East,50,16425,31140,64,685,6195,1,0,626626,256,10790,775,84163,1120,1925,6461,39.49436862,151,145,4600,480,4.1,12
Willowdale East,51,45025,85020,84,1189,19630,3,496,540911,424,31410,1945,80607,2815,6650,542,62.46088057,524,296,13330,1430,5,29
Bayview Village,52,17675,33315,71,626,7415,4,131,533089,178,10615,800,92800,975,2010,0,37.07799855,99,302,4250,670,5.2,25
Henry Farm,53,11340,20500,76,1502,4115,8,232,372110,359,8525,745,65901,570,2555,931,16.06263543,108,112,4220,460,2.6,15
O'Connor-Parkview,54,18315,33445,67,2984,7405,21,528,538203,516,6410,860,73050,665,1300,18416,44.29355774,128,93,3910,1080,4.9,23
Thorncliffe Park,55,19225,33400,73,3818,6705,11,567,313618,1105,14785,1250,49530,770,4165,139415,13.29149971,154,256,8700,700,3.1,12
Leaside-Bennington,56,17010,30575,77,239,6520,5,0,1071823,58,2180,660,158847,660,380,282,48.30630623,280,92,930,490,4.8,10
Broadview North,57,11565,21555,74,1306,5610,9,154,518555,326,2620,715,67940,570,1035,0,15.20816339,47,51,2150,590,1.7,1
Old East York,58,9115,16875,69,569,3850,4,182,581398,113,2310,340,90478,400,240,0,23.84081641,60,60,1120,410,2.3,3
Danforth-East York,59,16710,30815,77,1049,6950,8,423,518568,231,2415,680,83989,535,425,143,35.28021008,106,67,2340,760,2.2,7
Woodbine-Lumsden,60,7825,14565,73,582,3480,5,203,440700,134,3025,375,74945,340,150,0,16.07900302,70,27,1100,410,1.2,2
Taylor-Massey,61,15595,28135,77,2635,6290,11,381,254151,919,9990,1295,51131,490,3165,22,10.68841484,89,73,5180,750,1.1,11
East End-Danforth,62,20840,38155,85,1901,9105,14,1016,535867,599,5860,935,90812,645,1080,0,31.17002467,129,129,3520,1050,2.6,19
The Beaches,63,21135,38555,88,672,9380,17,151,751945,143,2235,845,139757,700,505,58703,43.72176959,193,131,1760,720,3.6,9
Woodbine Corridor,64,11705,21360,85,906,5205,7,950,521549,242,2355,485,90338,410,255,1,20.75984929,75,57,1770,560,1.6,7
Greenwood-Coxwell,65,14075,26020,88,1762,6005,7,830,490920,385,5835,795,76085,510,535,1358,23.60064249,91,90,2920,720,1.7,14
Danforth,66,9450,17355,86,626,3920,2,356,585093,153,4375,335,88629,205,185,0,15.45133445,92,48,1400,360,1.1,8
Playter Estates-Danforth,67,7655,14175,90,288,3540,2,194,842668,103,1310,355,112244,250,175,508,11.62757371,112,56,870,230,0.9,2
North Riverdale,68,12195,22510,90,503,5140,4,98,818592,161,2840,430,114599,435,255,0,18.77734793,110,95,1380,420,1.8,18
Blake-Jones,69,7765,14155,89,1021,3175,4,751,571246,204,2830,410,76633,260,375,850,11.66190741,40,49,2040,450,0.9,8
South Riverdale,70,25640,47840,91,2695,10775,7,1479,537087,836,11390,1060,83795,940,1185,347833,56.66203282,366,318,5440,1270,9.6,21
Cabbagetown-South St.James Town,71,12050,23225,91,986,6630,11,860,537025,358,3080,565,103558,435,695,241,15.27421978,74,90,1880,370,1.4,6
Regent Park,72,10010,17990,88,2491,3850,4,2120,484444,650,7005,640,51758,315,840,0,6.939176645,15,40,5150,710,0.6,9
Moss Park,73,16310,31330,95,3510,9035,14,3399,457524,1573,5670,805,87222,560,1075,3692,23.8997873,59,211,5120,680,1.4,28
North St.James Town,74,17825,33350,93,2681,9205,35,1704,489366,1127,11480,1115,49005,865,3320,0,4.720277312,46,49,5860,870,0.4,22
Church-Yonge Corridor,75,28345,55555,98,3090,18230,19,3324,410703,1022,10455,1630,77996,1250,2120,1092,22.58273038,253,357,5160,720,1.4,32
Bay Street Corridor,76,19345,37315,99,678,11400,6,754,457787,271,10555,1120,90324,885,2265,135026,26.29975736,290,580,12820,820,1.8,24
Waterfront Communities-The Island,77,43365,84300,92,2864,27015,15,2644,416759,672,17445,1675,95004,2060,3180,92338,63.67921613,487,610,6990,1410,7.6,61
Kensington-Chinatown,78,18500,35485,97,2523,8625,5,2064,477989,781,11170,1070,64945,705,1210,1156,21.2281364,289,236,6070,860,1.5,22
University,79,7790,15135,97,259,3295,1,326,773920,140,2265,480,92815,260,375,27906,15.59120246,86,152,1530,170,1.4,8
Palmerston-Little Italy,80,13735,26275,95,665,6255,1,169,781568,170,3125,760,94190,305,435,0,18.86810933,95,148,1810,420,1.4,14
Trinity-Bellwoods,81,16805,31855,94,1415,6850,1,250,723909,261,5045,810,77477,455,855,558,26.77774476,156,208,3220,600,1.7,15
Niagara,82,21000,40630,84,1246,12635,10,939,398281,334,6255,815,88996,690,900,4819,19.53632815,312,313,2580,670,3.1,24
Dufferin Grove,83,11450,21595,90,1303,5115,4,166,502736,291,3615,490,66895,465,775,6067,16.21458922,94,141,2140,440,1.4,12
Little Portugal,84,12055,22875,88,983,5300,6,529,514960,239,3030,405,74372,335,215,4259,17.38358577,122,102,2030,560,1.2,14
South Parkdale,85,21245,39925,83,4473,10595,21,1600,500054,1194,9700,1495,54454,750,3005,43033,24.80493413,110,152,5660,970,2.3,13
Roncesvalles,86,15050,27610,91,2268,6780,6,511,581425,409,3865,565,86526,550,1095,156,19.20689115,139,90,2640,550,1.5,11
High Park-Swansea,87,21750,40225,79,1680,9895,2,300,622206,227,3435,870,116465,830,625,0,47.64471023,291,125,2290,770,5.3,20
High Park North,88,21300,39910,84,1054,10625,7,788,609689,369,4805,1040,89737,885,1500,0,23.63400611,145,87,2940,770,1.9,8
Runnymede-Bloor West Village,89,9635,17420,81,251,3810,1,4,666204,46,1790,380,114798,290,205,1363,19.86655409,102,56,720,320,1.6,17
Junction Area,90,14015,26025,83,1155,5735,11,84,532997,343,4010,695,78000,505,725,109791,26.82264851,146,164,2190,650,2.6,22
Weston-Pellam Park,91,12015,21995,75,1754,4400,6,734,382119,332,10380,795,66933,175,610,123,16.90758145,104,62,2810,790,1.5,22
Corso Italia-Davenport,92,13735,25505,79,1294,5115,5,59,502819,263,3880,750,74367,440,655,0,22.3904709,124,78,2120,720,1.9,15
Dovercourt-Wallace Emerson-Juncti,93,34635,64830,88,3563,13925,16,1132,512789,955,11815,1620,70893,1040,1695,10190,47.68163149,286,204,6400,1580,3.7,25
Wychwood,94,13985,26080,86,911,5530,4,1229,656868,331,3640,550,90496,445,585,4502,22.11651935,75,74,1940,600,1.7,5
Annex,95,29180,56130,94,1150,15550,6,1436,993491,464,6010,1315,141111,1125,1345,188,39.47685229,331,290,4260,730,2.8,14
Casa Loma,96,10485,19800,80,189,5325,4,97,1083381,87,1795,390,188924,560,475,575,22.99642277,116,74,950,280,1.9,5
Yonge-St.Clair,97,11655,22360,84,283,6790,4,0,995616,74,1675,530,173751,435,615,0,12.83543094,99,58,980,320,1.2,2
Rosedale-Moore Park,98,20635,38805,84,499,10030,9,520,1265389,186,2955,660,249884,860,740,0,48.24002744,305,148,1650,480,4.6,10
Mount Pleasant East,99,15980,29170,88,288,7375,5,291,815247,101,2495,620,133977,670,585,446,28.31337044,218,83,1210,480,3.1,7
Yonge-Eglinton,100,10580,19615,89,189,5200,4,0,975449,76,1940,370,140907,350,435,0,22.07398574,143,134,1100,310,1.6,12
Forest Hill South,101,10925,20535,76,134,4800,3,174,1585984,55,1320,420,251035,415,320,691,30.25289175,164,42,860,210,2.5,4
Forest Hill North,102,12475,22935,77,633,5345,10,311,957688,185,3080,630,137887,680,1365,73,20.41502948,153,61,1770,460,1.6,13
Lawrence Park South,103,15075,27215,72,240,5675,1,113,1215390,80,1900,700,216754,520,485,1,39.90787305,183,69,930,350,3.2,15
Mount Pleasant West,104,28590,55180,95,1343,17575,11,1383,520032,449,8890,1445,89797,1515,2760,248,16.12560861,228,111,4740,990,1.3,4
Lawrence Park North,105,14540,25765,78,166,5500,0,113,980831,54,2270,455,165131,390,400,202,29.60219911,218,46,980,420,2.3,22
Humewood-Cedarvale,106,14110,26160,80,698,6570,8,480,800442,247,4050,590,105770,620,830,0,23.21263491,88,51,1820,510,1.9,11
Oakwood Village,107,21075,38985,82,2412,8555,9,825,482040,578,9105,950,67809,815,1650,0,32.5587855,178,84,3930,1240,2.2,23
Briar Hill-Belgravia,108,14295,26565,81,1432,5805,9,316,373937,309,6490,645,67358,805,1575,2611,22.4839455,137,93,2870,830,1.8,15
Caledonia-Fairbank,109,9855,18120,69,1153,3505,4,7,400532,164,3685,515,66257,250,855,0,18.70522556,82,52,1720,560,1.5,11
Keelesdale-Eglinton West,110,10640,19580,69,1653,3985,4,351,373029,251,4850,605,64857,270,960,2750,22.30262457,141,119,1970,580,1.7,20
Rockcliffe-Smythe,111,22270,40700,61,3422,8900,17,1092,353967,564,10275,1295,64271,805,1080,653,43.05565102,193,115,5160,1530,5.1,44
Beechborough-Greenbrook,112,6490,11745,62,1478,2665,10,824,440179,293,3475,360,58706,150,520,3911,16.39852965,103,63,1920,610,1.8,12
Weston,113,18170,33145,73,4149,7905,32,1036,280187,814,4965,955,61470,545,1070,96336,29.13558051,196,178,5050,1490,2.6,54
Lambton Baby Point,114,7920,14220,70,1049,3155,0,668,806452,94,1720,215,122277,230,240,0,19.21811928,52,20,1390,450,1.7,6
Mount Dennis,115,13150,23845,59,2937,4880,21,1145,273418,545,8270,920,57386,305,1175,156,17.69051031,64,59,3770,1200,2.1,27
Steeles,116,25010,47015,61,1549,7680,0,0,440688,428,22050,1355,67732,1495,2745,2596,46.33675666,234,99,7570,1090,4.6,17
L'Amoreaux,117,44915,83160,65,3848,14925,12,1776,355438,867,34310,2315,64493,2550,4355,251,66.57614957,215,249,12450,2230,7.1,16
Tam O'Shanter-Sullivan,118,27390,50605,64,1973,9805,10,607,411143,589,19640,1240,64630,1425,3080,0,50.85001538,171,260,6570,1270,5.5,22
Wexford/Maryvale,119,27020,49735,67,3014,9970,37,736,422689,593,12805,1400,69418,1230,1750,50349,86.67723451,262,607,5500,1470,10.2,53
Clairlea-Birchmount,120,24775,45295,69,2688,8730,9,422,387912,570,13390,1255,69549,950,2110,445019,63.8376636,268,465,5650,1300,7.4,45
Oakridge,121,13505,24160,71,2967,5225,9,1486,347446,869,9125,1040,50793,490,2575,416,19.11891564,76,80,5890,780,1.8,22
Birchcliffe-Cliffside,122,21860,40505,71,1789,9190,16,370,522905,283,4430,1295,90256,760,495,0,64.45457811,193,114,3050,1120,6,11
Cliffcrest,123,15700,28755,54,1342,5825,10,510,542218,289,5545,720,83694,910,640,131557,51.38712788,108,97,2660,760,7.1,18
Kennedy Park,124,17050,31190,62,2583,6550,14,1360,293600,540,11185,935,58513,575,1355,36,30.81869749,117,155,4810,1100,3.6,26
Ionview,125,13095,23965,70,1675,5075,12,348,330109,393,9115,885,57069,660,1550,0,16.898618,32,111,3350,850,2,5
Dorset Park,126,24360,44225,68,2803,8525,13,468,279189,515,17820,1375,60973,1245,2435,496649,39.00312698,251,348,6590,1330,6,49
Bendale,127,27870,51300,64,2729,10085,19,504,329355,701,18235,1430,65560,1520,2820,55313,62.86449729,258,851,6870,1310,7.4,45
Agincourt South-Malvern West,128,21990,40820,66,1542,6880,12,250,332710,385,17785,1175,68465,1150,2330,236731,55.9797809,160,281,6400,1030,7.9,32
Agincourt North,129,30280,56330,66,1930,9140,6,247,375307,531,27015,1685,67622,1805,2935,16092,57.45648472,288,129,8250,1370,7.3,16
Milliken,130,27160,50575,65,1921,7770,1,156,387879,404,25355,1445,66372,1550,2755,222837,67.435866,426,487,8330,1180,9.4,41
Rouge,131,45905,83330,42,2994,13095,23,332,426850,411,36175,2475,86997,2495,2345,56778,115.7449367,770,263,7770,2120,37.6,58
Malvern,132,45085,80940,61,5078,13415,32,1014,256488,851,39340,2905,64497,2115,3450,66889,74.91197001,334,232,11490,2700,8.9,27
Centennial Scarborough,133,13100,24035,54,399,4275,1,126,491024,65,4950,585,102278,685,380,311,45.86598925,115,44,1330,510,5.4,8
Highland Creek,134,13100,24465,54,724,3775,2,0,529278,96,9185,645,98857,1025,395,10030,37.845626,100,50,2120,480,5.1,25
Morningside,135,17585,32065,53,2534,5860,13,523,289646,419,12535,1110,66024,680,1240,0,32.28313942,88,118,4580,1060,5.6,19
West Hill,136,26550,48150,66,4974,9695,22,2052,308229,725,15835,1675,65871,1100,2080,371626,61.14700126,166,209,7640,2100,9.6,27
Woburn,137,53350,96455,66,6747,18290,26,2594,316584,1306,38715,3310,63186,2555,6030,2357,102.835355,438,507,15430,2860,12.2,45
Eglinton East,138,22830,41100,62,4171,8060,33,885,274020,688,16160,1490,57357,930,2700,4410,29.46464034,122,180,6290,1710,3.2,16
Scarborough Village,139,16615,29720,70,4133,5910,22,788,356096,683,11455,1035,61631,735,1870,0,23.14334537,65,110,5500,1120,3.1,21
Guildwood,140,9815,18360,59,309,3960,3,48,444309,62,2370,325,92858,390,235,0,31.41879421,56,23,790,460,3.8,2