"Neighbourhood","Neighbourhood Id","Combined Indicators","Low Income Families","Total Population","Visible Minority Category","Low Income Population","   Unemployed","With Bachelor Degree or Higher","Average Family Income","Pre-Tax Household Income","Social Housing Units","Assaults","Fire Medical Calls"
"West Humber-Clairville",1.0,"N/A",3790.0,34100.0,26475.0,7590.0,1750.0,1445.0,72820.0,66241.0,950.0,301.0,760.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",5010.0,32790.0,28175.0,11540.0,2175.0,1090.0,57411.0,49934.0,1288.0,238.0,528.0
"Thistletown-Beaumond Heights",3.0,"N/A",1080.0,10140.0,6285.0,2350.0,530.0,650.0,70838.0,62042.0,372.0,57.0,212.0
"Rexdale-Kipling",4.0,"N/A",1110.0,10485.0,4425.0,2170.0,590.0,350.0,69367.0,56545.0,308.0,50.0,189.0
"Elms-Old Rexdale",5.0,"N/A",1190.0,9550.0,5510.0,2790.0,575.0,260.0,61196.0,50846.0,358.0,42.0,129.0
"Kingsview Village-The Westway",6.0,"N/A",2800.0,21725.0,12180.0,6760.0,920.0,765.0,68145.0,55454.0,553.0,90.0,371.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1610.0,21345.0,7915.0,3490.0,835.0,1140.0,79241.0,63701.0,762.0,85.0,461.0
"Humber Heights-Westmount",8.0,"N/A",820.0,10580.0,2435.0,1780.0,405.0,320.0,81267.0,60410.0,688.0,24.0,308.0
"Edenbridge-Humber Valley",9.0,"N/A",900.0,14945.0,2610.0,1660.0,635.0,795.0,119581.0,71646.0,0.0,25.0,190.0
"Princess-Rosethorn",10.0,"N/A",460.0,11200.0,1810.0,950.0,425.0,450.0,144943.0,114844.0,0.0,22.0,156.0
"Eringate-Centennial-West Deane",11.0,"N/A",1060.0,18805.0,5180.0,2130.0,735.0,1025.0,88741.0,80894.0,0.0,59.0,271.0
"Markland Wood",12.0,"N/A",510.0,10435.0,1445.0,990.0,450.0,470.0,100337.0,74376.0,0.0,23.0,178.0
"Etobicoke West Mall",13.0,"N/A",980.0,10925.0,4250.0,2020.0,555.0,520.0,67704.0,56010.0,200.0,45.0,216.0
"Islington-City Centre West",14.0,"N/A",6140.0,38070.0,12355.0,11590.0,1565.0,2155.0,87747.0,66537.0,1240.0,244.0,990.0
"Kingsway South",15.0,"N/A",260.0,9175.0,1005.0,470.0,295.0,310.0,191204.0,131047.0,0.0,21.0,113.0
"Stonegate-Queensway",16.0,"N/A",1740.0,24690.0,3890.0,3080.0,1095.0,910.0,100867.0,78238.0,129.0,90.0,423.0
"Mimico",17.0,"N/A",2720.0,26550.0,6700.0,4390.0,1195.0,1385.0,87901.0,64589.0,879.0,217.0,559.0
"New Toronto",18.0,"N/A",1430.0,10905.0,3260.0,2410.0,520.0,510.0,70398.0,44141.0,1010.0,87.0,293.0
"Long Branch",19.0,"N/A",940.0,9630.0,2005.0,1520.0,505.0,345.0,77549.0,52771.0,106.0,63.0,197.0
"Alderwood",20.0,"N/A",640.0,11900.0,1955.0,1090.0,500.0,455.0,83584.0,71585.0,77.0,44.0,170.0
"Humber Summit",21.0,"N/A",1570.0,12530.0,7340.0,3330.0,645.0,310.0,65757.0,57786.0,133.0,78.0,246.0
"Humbermede",22.0,"N/A",1860.0,15850.0,11725.0,4030.0,1030.0,570.0,59697.0,51959.0,223.0,119.0,258.0
"Pelmo Park-Humberlea",23.0,"N/A",710.0,8705.0,3240.0,1430.0,440.0,175.0,76800.0,67412.0,359.0,65.0,152.0
"Black Creek",24.0,"N/A",3680.0,22060.0,17805.0,7940.0,1300.0,450.0,52499.0,41878.0,1564.0,208.0,444.0
"Glenfield-Jane Heights",25.0,"N/A",4420.0,31395.0,23905.0,9610.0,1755.0,670.0,56582.0,46475.0,1511.0,285.0,585.0
"Downsview-Roding-CFB",26.0,"N/A",4060.0,34650.0,18135.0,7750.0,1760.0,1260.0,61994.0,47173.0,571.0,346.0,771.0
"York University Heights",27.0,"N/A",4490.0,27715.0,17710.0,7950.0,1545.0,1140.0,59770.0,45534.0,511.0,283.0,709.0
"Rustic",28.0,"N/A",1340.0,9950.0,6125.0,2980.0,605.0,320.0,59004.0,43976.0,1292.0,52.0,182.0
"Maple Leaf",29.0,"N/A",880.0,10195.0,4390.0,1770.0,360.0,325.0,68718.0,57721.0,175.0,22.0,187.0
"Brookhaven-Amesbury",30.0,"N/A",2320.0,17785.0,11220.0,4780.0,835.0,630.0,60364.0,47040.0,849.0,81.0,249.0
"Yorkdale-Glen Park",31.0,"N/A",1470.0,14685.0,6115.0,2850.0,710.0,445.0,70539.0,54093.0,657.0,102.0,544.0
"Englemount-Lawrence",32.0,"N/A",2470.0,22080.0,8225.0,5360.0,735.0,960.0,86616.0,49762.0,2104.0,92.0,510.0
"Clanton Park",33.0,"N/A",1410.0,14610.0,5010.0,2560.0,610.0,815.0,89550.0,61094.0,569.0,77.0,270.0
"Bathurst Manor",34.0,"N/A",1440.0,15435.0,4340.0,2620.0,625.0,565.0,76914.0,56563.0,301.0,43.0,310.0
"Westminster-Branson",35.0,"N/A",3500.0,25445.0,8765.0,6540.0,1240.0,1545.0,62791.0,45888.0,966.0,97.0,608.0
"Newtonbrook West",36.0,"N/A",3480.0,23050.0,11630.0,6690.0,1175.0,1295.0,66505.0,50150.0,380.0,145.0,452.0
"Willowdale West",37.0,"N/A",1670.0,15005.0,7410.0,3050.0,490.0,980.0,83632.0,60537.0,664.0,82.0,279.0
"Lansing-Westgate",38.0,"N/A",7560.0,14640.0,4945.0,12430.0,655.0,635.0,105947.0,70571.0,0.0,44.0,231.0
"Bedford Park-Nortown",39.0,"N/A",1340.0,23185.0,4090.0,2440.0,735.0,1115.0,161110.0,90934.0,236.0,54.0,496.0
"St.Andrew-Windfields",40.0,"N/A",1590.0,17955.0,7725.0,3350.0,810.0,1045.0,162988.0,94271.0,38.0,52.0,200.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",460.0,8715.0,1965.0,810.0,245.0,355.0,356777.0,208674.0,43.0,17.0,199.0
"Banbury-Don Mills",42.0,"N/A",2000.0,26910.0,11935.0,3790.0,985.0,1400.0,115239.0,70039.0,304.0,61.0,544.0
"Victoria Village",43.0,"N/A",2040.0,17180.0,9390.0,4320.0,915.0,785.0,65104.0,47529.0,922.0,112.0,448.0
"Flemingdon Park",44.0,"N/A",3290.0,22165.0,17115.0,7800.0,1585.0,995.0,55824.0,46554.0,748.0,131.0,364.0
"Parkwoods-Donalda",45.0,"N/A",3370.0,34620.0,17715.0,7200.0,2070.0,1535.0,74645.0,59027.0,805.0,157.0,539.0
"Pleasant View",46.0,"N/A",1730.0,16145.0,10230.0,3540.0,815.0,835.0,71782.0,65197.0,0.0,34.0,168.0
"Don Valley Village",47.0,"N/A",3430.0,26735.0,18195.0,7040.0,1535.0,1830.0,69884.0,56780.0,111.0,113.0,344.0
"Hillcrest Village",48.0,"N/A",2180.0,17650.0,12525.0,4350.0,750.0,1320.0,81484.0,64522.0,1027.0,65.0,240.0
"Bayview Woods-Steeles",49.0,"N/A",1420.0,13535.0,8210.0,3080.0,690.0,925.0,88861.0,70294.0,174.0,37.0,256.0
"Newtonbrook East",50.0,"N/A",2380.0,16425.0,10790.0,4600.0,775.0,1120.0,84163.0,61490.0,0.0,68.0,400.0
"Willowdale East",51.0,"N/A",6260.0,45025.0,31410.0,13330.0,1945.0,2815.0,80607.0,64362.0,496.0,133.0,458.0
"Bayview Village",52.0,"N/A",2090.0,17675.0,10615.0,4250.0,800.0,975.0,92800.0,67186.0,131.0,79.0,196.0
"Henry Farm",53.0,"N/A",2060.0,11340.0,8525.0,4220.0,745.0,570.0,65901.0,52675.0,232.0,63.0,181.0
"O'Connor-Parkview",54.0,"N/A",2000.0,18315.0,6410.0,3910.0,860.0,665.0,73050.0,54491.0,528.0,188.0,454.0
"Thorncliffe Park",55.0,"N/A",3030.0,19225.0,14785.0,8700.0,1250.0,770.0,49530.0,40795.0,567.0,87.0,357.0
"Leaside-Bennington",56.0,"N/A",590.0,17010.0,2180.0,930.0,660.0,660.0,158847.0,102666.0,0.0,41.0,173.0
"Broadview North",57.0,"N/A",1250.0,11565.0,2620.0,2150.0,715.0,570.0,67940.0,45969.0,154.0,61.0,197.0
"Old East York",58.0,"N/A",630.0,9115.0,2310.0,1120.0,340.0,400.0,90478.0,72230.0,182.0,47.0,174.0
"Danforth-East York",59.0,"N/A",1250.0,16710.0,2415.0,2340.0,680.0,535.0,83989.0,70739.0,423.0,66.0,249.0
"Woodbine-Lumsden",60.0,"N/A",660.0,7825.0,3025.0,1100.0,375.0,340.0,74945.0,65259.0,203.0,47.0,92.0
"Taylor-Massey",61.0,"N/A",2350.0,15595.0,9990.0,5180.0,1295.0,490.0,51131.0,40915.0,381.0,132.0,230.0
"East End-Danforth",62.0,"N/A",2030.0,20840.0,5860.0,3520.0,935.0,645.0,90812.0,63526.0,1016.0,172.0,404.0
"The Beaches",63.0,"N/A",1150.0,21135.0,2235.0,1760.0,845.0,700.0,139757.0,85028.0,151.0,88.0,395.0
"Woodbine Corridor",64.0,"N/A",1060.0,11705.0,2355.0,1770.0,485.0,410.0,90338.0,72937.0,950.0,89.0,202.0
"Greenwood-Coxwell",65.0,"N/A",1610.0,14075.0,5835.0,2920.0,795.0,510.0,76085.0,57853.0,830.0,107.0,281.0
"Danforth",66.0,"N/A",840.0,9450.0,4375.0,1400.0,335.0,205.0,88629.0,69640.0,356.0,81.0,229.0
"Playter Estates-Danforth",67.0,"N/A",570.0,7655.0,1310.0,870.0,355.0,250.0,112244.0,62185.0,194.0,51.0,192.0
"North Riverdale",68.0,"N/A",870.0,12195.0,2840.0,1380.0,430.0,435.0,114599.0,80260.0,98.0,56.0,345.0
"Blake-Jones",69.0,"N/A",990.0,7765.0,2830.0,2040.0,410.0,260.0,76633.0,55411.0,751.0,79.0,159.0
"South Riverdale",70.0,"N/A",3060.0,25640.0,11390.0,5440.0,1060.0,940.0,83795.0,65076.0,1479.0,212.0,643.0
"Cabbagetown-South St.James Town",71.0,"N/A",1390.0,12050.0,3080.0,1880.0,565.0,435.0,103558.0,60268.0,860.0,81.0,475.0
"Regent Park",72.0,"N/A",2360.0,10010.0,7005.0,5150.0,640.0,315.0,51758.0,32172.0,2120.0,101.0,217.0
"Moss Park",73.0,"N/A",3540.0,16310.0,5670.0,5120.0,805.0,560.0,87222.0,41295.0,3399.0,341.0,999.0
"North St.James Town",74.0,"N/A",3450.0,17825.0,11480.0,5860.0,1115.0,865.0,49005.0,32514.0,1704.0,154.0,350.0
"Church-Yonge Corridor",75.0,"N/A",3860.0,28345.0,10455.0,5160.0,1630.0,1250.0,77996.0,47195.0,3324.0,494.0,1301.0
"Bay Street Corridor",76.0,"N/A",10050.0,19345.0,10555.0,12820.0,1120.0,885.0,90324.0,50363.0,754.0,588.0,1454.0
"Waterfront Communities-The Island",77.0,"N/A",4480.0,43365.0,17445.0,6990.0,1675.0,2060.0,95004.0,69107.0,2644.0,751.0,1420.0
"Kensington-Chinatown",78.0,"N/A",3690.0,18500.0,11170.0,6070.0,1070.0,705.0,64945.0,40793.0,2064.0,324.0,570.0
"University",79.0,"N/A",1180.0,7790.0,2265.0,1530.0,480.0,260.0,92815.0,51222.0,326.0,139.0,343.0
"Palmerston-Little Italy",80.0,"N/A",1280.0,13735.0,3125.0,1810.0,760.0,305.0,94190.0,59378.0,169.0,86.0,202.0
"Trinity-Bellwoods",81.0,"N/A",1990.0,16805.0,5045.0,3220.0,810.0,455.0,77477.0,56368.0,250.0,132.0,480.0
"Niagara",82.0,"N/A",1730.0,21000.0,6255.0,2580.0,815.0,690.0,88996.0,70862.0,939.0,261.0,427.0
"Dufferin Grove",83.0,"N/A",1310.0,11450.0,3615.0,2140.0,490.0,465.0,66895.0,47843.0,166.0,94.0,204.0
"Little Portugal",84.0,"N/A",1300.0,12055.0,3030.0,2030.0,405.0,335.0,74372.0,59886.0,529.0,85.0,295.0
"South Parkdale",85.0,"N/A",3640.0,21245.0,9700.0,5660.0,1495.0,750.0,54454.0,35601.0,1600.0,205.0,682.0
"Roncesvalles",86.0,"N/A",1680.0,15050.0,3865.0,2640.0,565.0,550.0,86526.0,52154.0,511.0,75.0,352.0
"High Park-Swansea",87.0,"N/A",1350.0,21750.0,3435.0,2290.0,870.0,830.0,116465.0,72286.0,300.0,98.0,446.0
"High Park North",88.0,"N/A",1810.0,21300.0,4805.0,2940.0,1040.0,885.0,89737.0,60879.0,788.0,80.0,322.0
"Runnymede-Bloor West Village",89.0,"N/A",410.0,9635.0,1790.0,720.0,380.0,290.0,114798.0,91230.0,4.0,28.0,136.0
"Junction Area",90.0,"N/A",1350.0,14015.0,4010.0,2190.0,695.0,505.0,78000.0,60789.0,84.0,102.0,283.0
"Weston-Pellam Park",91.0,"N/A",1530.0,12015.0,10380.0,2810.0,795.0,175.0,66933.0,51205.0,734.0,92.0,202.0
"Corso Italia-Davenport",92.0,"N/A",1210.0,13735.0,3880.0,2120.0,750.0,440.0,74367.0,63149.0,59.0,75.0,263.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",3860.0,34635.0,11815.0,6400.0,1620.0,1040.0,70893.0,56997.0,1132.0,207.0,676.0
"Wychwood",94.0,"N/A",1220.0,13985.0,3640.0,1940.0,550.0,445.0,90496.0,55941.0,1229.0,57.0,388.0
"Annex",95.0,"N/A",3110.0,29180.0,6010.0,4260.0,1315.0,1125.0,141111.0,57825.0,1436.0,219.0,940.0
"Casa Loma",96.0,"N/A",630.0,10485.0,1795.0,950.0,390.0,560.0,188924.0,78152.0,97.0,25.0,280.0
"Yonge-St.Clair",97.0,"N/A",680.0,11655.0,1675.0,980.0,530.0,435.0,173751.0,71728.0,0.0,21.0,195.0
"Rosedale-Moore Park",98.0,"N/A",1120.0,20635.0,2955.0,1650.0,660.0,860.0,249884.0,88855.0,520.0,60.0,378.0
"Mount Pleasant East",99.0,"N/A",760.0,15980.0,2495.0,1210.0,620.0,670.0,133977.0,84873.0,291.0,29.0,139.0
"Yonge-Eglinton",100.0,"N/A",770.0,10580.0,1940.0,1100.0,370.0,350.0,140907.0,72977.0,0.0,65.0,281.0
"Forest Hill South",101.0,"N/A",550.0,10925.0,1320.0,860.0,420.0,415.0,251035.0,78269.0,174.0,17.0,192.0
"Forest Hill North",102.0,"N/A",1020.0,12475.0,3080.0,1770.0,630.0,680.0,137887.0,61596.0,311.0,24.0,247.0
"Lawrence Park South",103.0,"N/A",580.0,15075.0,1900.0,930.0,700.0,520.0,216754.0,127853.0,113.0,20.0,192.0
"Mount Pleasant West",104.0,"N/A",3220.0,28590.0,8890.0,4740.0,1445.0,1515.0,89797.0,55802.0,1383.0,94.0,535.0
"Lawrence Park North",105.0,"N/A",590.0,14540.0,2270.0,980.0,455.0,390.0,165131.0,125667.0,113.0,27.0,175.0
"Humewood-Cedarvale",106.0,"N/A",1190.0,14110.0,4050.0,1820.0,590.0,620.0,105770.0,57140.0,480.0,45.0,166.0
"Oakwood Village",107.0,"N/A",2280.0,21075.0,9105.0,3930.0,950.0,815.0,67809.0,49838.0,825.0,117.0,314.0
"Briar Hill-Belgravia",108.0,"N/A",1670.0,14295.0,6490.0,2870.0,645.0,805.0,67358.0,53990.0,316.0,66.0,326.0
"Caledonia-Fairbank",109.0,"N/A",930.0,9855.0,3685.0,1720.0,515.0,250.0,66257.0,56115.0,7.0,67.0,162.0
"Keelesdale-Eglinton West",110.0,"N/A",1080.0,10640.0,4850.0,1970.0,605.0,270.0,64857.0,48667.0,351.0,79.0,203.0
"Rockcliffe-Smythe",111.0,"N/A",2640.0,22270.0,10275.0,5160.0,1295.0,805.0,64271.0,49695.0,1092.0,135.0,420.0
"Beechborough-Greenbrook",112.0,"N/A",950.0,6490.0,3475.0,1920.0,360.0,150.0,58706.0,41175.0,824.0,52.0,166.0
"Weston",113.0,"N/A",2650.0,18170.0,4965.0,5050.0,955.0,545.0,61470.0,45119.0,1036.0,183.0,533.0
"Lambton Baby Point",114.0,"N/A",690.0,7920.0,1720.0,1390.0,215.0,230.0,122277.0,69525.0,668.0,30.0,95.0
"Mount Dennis",115.0,"N/A",1930.0,13150.0,8270.0,3770.0,920.0,305.0,57386.0,46811.0,1145.0,98.0,231.0
"Steeles",116.0,"N/A",3520.0,25010.0,22050.0,7570.0,1355.0,1495.0,67732.0,60946.0,0.0,42.0,264.0
"L'Amoreaux",117.0,"N/A",5840.0,44915.0,34310.0,12450.0,2315.0,2550.0,64493.0,53644.0,1776.0,123.0,522.0
"Tam O'Shanter-Sullivan",118.0,"N/A",3100.0,27390.0,19640.0,6570.0,1240.0,1425.0,64630.0,49720.0,607.0,110.0,427.0
"Wexford/Maryvale",119.0,"N/A",2670.0,27020.0,12805.0,5500.0,1400.0,1230.0,69418.0,58939.0,736.0,174.0,610.0
"Clairlea-Birchmount",120.0,"N/A",2680.0,24775.0,13390.0,5650.0,1255.0,950.0,69549.0,59224.0,422.0,261.0,547.0
"Oakridge",121.0,"N/A",2570.0,13505.0,9125.0,5890.0,1040.0,490.0,50793.0,33980.0,1486.0,159.0,458.0
"Birchcliffe-Cliffside",122.0,"N/A",1790.0,21860.0,4430.0,3050.0,1295.0,760.0,90256.0,64701.0,370.0,141.0,547.0
"Cliffcrest",123.0,"N/A",1290.0,15700.0,5545.0,2660.0,720.0,910.0,83694.0,68647.0,510.0,80.0,297.0
"Kennedy Park",124.0,"N/A",2450.0,17050.0,11185.0,4810.0,935.0,575.0,58513.0,44226.0,1360.0,217.0,428.0
"Ionview",125.0,"N/A",1690.0,13095.0,9115.0,3350.0,885.0,660.0,57069.0,46955.0,348.0,98.0,185.0
"Dorset Park",126.0,"N/A",3010.0,24360.0,17820.0,6590.0,1375.0,1245.0,60973.0,51724.0,468.0,134.0,529.0
"Bendale",127.0,"N/A",3170.0,27870.0,18235.0,6870.0,1430.0,1520.0,65560.0,55786.0,504.0,195.0,621.0
"Agincourt South-Malvern West",128.0,"N/A",3110.0,21990.0,17785.0,6400.0,1175.0,1150.0,68465.0,59013.0,250.0,108.0,316.0
"Agincourt North",129.0,"N/A",3980.0,30280.0,27015.0,8250.0,1685.0,1805.0,67622.0,60162.0,247.0,66.0,275.0
"Milliken",130.0,"N/A",3960.0,27160.0,25355.0,8330.0,1445.0,1550.0,66372.0,60262.0,156.0,70.0,282.0
"Rouge",131.0,"N/A",3760.0,45905.0,36175.0,7770.0,2475.0,2495.0,86997.0,81553.0,332.0,176.0,617.0
"Malvern",132.0,"N/A",5170.0,45085.0,39340.0,11490.0,2905.0,2115.0,64497.0,57528.0,1014.0,215.0,617.0
"Centennial Scarborough",133.0,"N/A",690.0,13100.0,4950.0,1330.0,585.0,685.0,102278.0,102864.0,126.0,54.0,184.0
"Highland Creek",134.0,"N/A",1110.0,13100.0,9185.0,2120.0,645.0,1025.0,98857.0,98087.0,0.0,47.0,144.0
"Morningside",135.0,"N/A",2140.0,17585.0,12535.0,4580.0,1110.0,680.0,66024.0,54746.0,523.0,127.0,338.0
"West Hill",136.0,"N/A",3710.0,26550.0,15835.0,7640.0,1675.0,1100.0,65871.0,49713.0,2052.0,342.0,579.0
"Woburn",137.0,"N/A",6860.0,53350.0,38715.0,15430.0,3310.0,2555.0,63186.0,52018.0,2594.0,355.0,876.0
"Eglinton East",138.0,"N/A",2930.0,22830.0,16160.0,6290.0,1490.0,930.0,57357.0,46495.0,885.0,180.0,452.0
"Scarborough Village",139.0,"N/A",2400.0,16615.0,11455.0,5500.0,1035.0,735.0,61631.0,42131.0,788.0,160.0,372.0
"Guildwood",140.0,"N/A",440.0,9815.0,2370.0,790.0,325.0,390.0,92858.0,76055.0,48.0,52.0,209.0
